city,lat,lng
Santa Rosa,38.4458,-122.7067
Lansing,42.7142,-84.5601
San Juan,18.4037,-66.0636
Lexington,38.0423,-84.4587
Ann Arbor,42.2755,-83.7312
Henderson,36.0133,-115.038
Huntsville,34.6988,-86.6412
Mobile,30.6783,-88.1162
Fort Collins,40.5478,-105.0656
Asheville,35.5704,-82.5536
Santa Clarita,34.4175,-118.4964
St. Paul,44.9477,-93.104
Antioch,37.9789,-121.7958
Lakeland,28.0556,-81.9545
Trenton,40.2236,-74.7641
Lincoln,40.809,-96.6788
Springfield,37.1943,-93.2916
Anchorage,61.1508,-149.1091
Plano,33.0502,-96.7487
Irvine,33.6772,-117.7738
Davenport,41.5563,-90.6052
Rockford,42.2597,-89.0641
Newark,40.7245,-74.1725
South Bend,41.6767,-86.2696
Shreveport,32.4656,-93.7956
Round Lake Beach,42.379,-88.0811
Savannah,32.0281,-81.1784
Myrtle Beach,33.7096,-78.8843
Chula Vista,32.6281,-117.0145
Eugene,44.0563,-123.1173
Canton,40.8075,-81.3677
Lubbock,33.5659,-101.8878
Reading,40.34,-75.9267
Winter Haven,28.0118,-81.7017
Salem,44.9231,-123.0246
St. Petersburg,27.7931,-82.6652
Lafayette,30.2084,-92.0323
Laredo,27.5629,-99.4875
Jersey City,40.7161,-74.0682
Concord,35.3933,-80.6366
Columbus,32.51,-84.8771
Chandler,33.2826,-111.8516
McKinney,33.2015,-96.6669
Scottsdale,33.6872,-111.8651
Killeen,31.0754,-97.7296
Tallahassee,30.4551,-84.2526
Peoria,40.752,-89.6153
Wilmington,34.21,-77.8866
Montgomery,32.3473,-86.2666
Gilbert,33.3101,-111.7463
Glendale,33.5791,-112.2311
North Las Vegas,36.288,-115.0901
Chesapeake,36.6778,-76.3024
Barnstable,41.6722,-70.3599
Norfolk,36.8945,-76.259
Fremont,37.5265,-121.9852
Kennewick,46.1978,-119.1732
Garland,32.91,-96.6305
Irving,32.8584,-96.9702
Visalia,36.3276,-119.3269
Atlantic City,39.3797,-74.4527
Paradise,36.0807,-115.1369
Nashua,42.7491,-71.491
Arlington,38.8786,-77.1011
Hialeah,25.8696,-80.3046
York,39.9651,-76.7315
Evansville,37.9881,-87.5341
Avondale,33.3858,-112.3236
Brownsville,25.998,-97.4565
Gulfport,30.4271,-89.0703
Appleton,44.2779,-88.3891
Bremerton,47.5436,-122.7122
Hickory,35.7425,-81.323
Tacoma,47.2431,-122.4531
San Bernardino,34.1417,-117.2946
College Station,30.5852,-96.296
Kalamazoo,42.2749,-85.5882
Thousand Oaks,34.1914,-118.8755
Roanoke,37.2785,-79.958
Fontana,34.0968,-117.4599
Moreno Valley,33.9244,-117.2045
North Port,27.0577,-82.1975
Fargo,46.8652,-96.8292
Green Bay,44.515,-87.9896
Spring Valley,36.0987,-115.2619
Amarillo,35.1988,-101.8311
Portland,43.6773,-70.2715
Santa Barbara,34.4285,-119.7202
Gainesville,29.6804,-82.3458
Olympia,47.0417,-122.8959
Frisco,33.1555,-96.8215
Yonkers,40.9466,-73.8674
Norwich,41.5495,-72.0882
Glendale,34.1818,-118.2468
Huntington Beach,33.696,-118.0025
Deltona,28.905,-81.2137
Aurora,41.7637,-88.2901
Tempe,33.3881,-111.9318
Overland Park,38.887,-94.687
Grand Prairie,32.6872,-97.0209
Sunrise Manor,36.1785,-115.049
Waco,31.5598,-97.1881
Salinas,36.6884,-121.6317
Waterbury,41.5583,-73.0361
Clarksville,36.5695,-87.342
Cedar Rapids,41.9665,-91.6782
Sioux Falls,43.5397,-96.732
Huntington,38.4109,-82.4344
Ontario,34.0393,-117.6064
Hagerstown,39.6401,-77.7217
Erie,42.1168,-80.0733
Vancouver,45.6366,-122.5967
Nampa,43.5845,-116.5631
Spartanburg,34.9437,-81.9257
Gastonia,35.2494,-81.1853
Fort Lauderdale,26.1412,-80.1464
Lorain,41.4409,-82.184
Murfreesboro,35.8492,-86.4119
High Point,35.9907,-79.9938
Newport News,37.1051,-76.5185
Rancho Cucamonga,34.1248,-117.5666
Hemet,33.7341,-116.9969
Santa Cruz,36.9789,-122.0346
Danbury,41.4016,-73.471
Peoria,33.7844,-112.2989
Oceanside,33.2247,-117.3083
Elk Grove,38.416,-121.3842
Pembroke Pines,26.0128,-80.3382
Vallejo,38.1133,-122.2358
Garden Grove,33.7787,-117.9601
Enterprise,36.0164,-115.2208
Medford,42.3372,-122.8537
Cary,35.782,-78.8191
Marysville,48.0809,-122.1561
Corona,33.8616,-117.5649
Ocala,29.178,-82.1511
Fredericksburg,38.2992,-77.4872
Gainesville,34.2903,-83.8301
Manchester,42.9848,-71.4447
Bayamón,18.3793,-66.1635
Champaign,40.1144,-88.2735
Alexandria,38.8185,-77.0861
Hayward,37.6328,-122.0772
Springfield,39.771,-89.6538
Lakewood,39.6977,-105.1168
Lafayette,40.399,-86.8594
Frederick,39.4336,-77.4141
Lake Charles,30.2012,-93.2122
Odessa,31.8831,-102.3406
Tuscaloosa,33.2348,-87.5267
Warner Robins,32.597,-83.6529
Palmdale,34.5944,-118.1057
Hollywood,26.0294,-80.1679
Midland,32.0249,-102.1137
Leesburg,28.7657,-81.8996
Port Arthur,29.8554,-93.9264
Muskegon,43.2281,-86.2563
Macon,32.8065,-83.6974
Kansas City,39.1234,-94.7443
Sunnyvale,37.3836,-122.0256
Pomona,34.0585,-117.7626
Escondido,33.1347,-117.0722
Pasadena,29.6583,-95.1499
New Bedford,41.6697,-70.9428
Fairfield,38.2592,-122.0324
Naperville,41.7483,-88.1657
Bellevue,47.5951,-122.1535
Binghamton,42.1014,-75.9093
Elkhart,41.6916,-85.9628
Topeka,39.0346,-95.6955
Joliet,41.5189,-88.1499
Beaumont,30.0849,-94.1451
Paterson,40.9147,-74.1624
Merced,37.3057,-120.4778
Pueblo,38.2705,-104.6112
Tyler,32.3184,-95.3062
Torrance,33.8346,-118.3417
Yuma,32.5992,-114.5488
Metairie,29.9977,-90.178
Surprise,33.68,-112.4524
Columbia,38.9478,-92.3256
Athens,33.9508,-83.3689
Roseville,38.7703,-121.3196
Thornton,39.9197,-104.9438
Miramar,25.9773,-80.3351
Pasadena,34.1597,-118.139
Mesquite,32.7623,-96.5889
Olathe,38.8832,-94.8198
Santa Maria,34.9334,-120.4432
Houma,29.5799,-90.7058
Carrollton,32.989,-96.8999
Grand Junction,39.0876,-108.5673
Charleston,38.3484,-81.6323
Orange,33.8038,-117.8218
Fullerton,33.8841,-117.9279
Greeley,40.4151,-104.7706
Carolina,18.4054,-65.9792
Las Cruces,32.3265,-106.7892
Panama City,30.1995,-85.6004
Harlingen,26.1917,-97.6976
West Valley City,40.6889,-112.0115
Hampton,37.0551,-76.363
Warren,42.4934,-83.027
Mauldin,34.7849,-82.3005
Bloomington,40.4757,-88.9703
Coral Springs,26.2702,-80.2591
Round Rock,30.5254,-97.666
Yakima,46.5923,-120.5496
Sterling Heights,42.5809,-83.0305
Kent,47.3887,-122.2129
Burlington,36.0758,-79.4686
Bellingham,48.7543,-122.4687
Santa Clara,37.3645,-121.968
Racine,42.7274,-87.8135
Greenville,35.5956,-77.3768
Stamford,41.1035,-73.5583
Elizabeth,40.6657,-74.1912
Johnson City,36.3406,-82.3803
Lynchburg,37.4003,-79.1909
Simi Valley,34.2663,-118.749
Fort Smith,35.3493,-94.3695
Kenosha,42.5864,-87.8765
Norman,35.2335,-97.3471
South Lyon,42.4614,-83.6526
Boulder,40.0249,-105.2523
Abilene,32.4543,-99.7384
Lehigh Acres,26.612,-81.6388
Pearland,29.5585,-95.3215
Berkeley,37.8723,-122.276
Richardson,32.9717,-96.7093
Redding,40.5698,-122.365
Arvada,39.8321,-105.1511
East Los Angeles,34.0326,-118.1691
St. George,37.077,-113.577
Billings,45.7891,-108.5524
Yuba City,39.1357,-121.6381
Rochester,44.0151,-92.4778
Leominster,42.5209,-71.7717
Kingsport,36.5224,-82.5453
Duluth,46.7756,-92.1392
Rock Hill,34.9416,-81.0244
Gilroy,37.0047,-121.5855
Cambridge,42.3759,-71.1185
Sugar Land,29.5935,-95.6357
Texas City,29.4128,-94.9658
Iowa City,41.6559,-91.5303
Saginaw,43.4199,-83.9501
Chico,39.7575,-121.8152
Dover,39.161,-75.5203
Clearwater,27.9789,-82.7622
Coeur d'Alene,47.7041,-116.7935
Seaside,36.6224,-121.8191
Independence,39.0871,-94.3501
West Jordan,40.6024,-112.0008
Brandon,27.9367,-82.3
Bloomington,39.1637,-86.5257
El Monte,34.0739,-118.0291
North Charleston,32.9066,-80.0722
Carlsbad,33.1247,-117.2837
St. Cloud,45.5339,-94.1718
Temecula,33.4928,-117.1315
Clovis,36.8278,-119.6831
Meridian,43.6112,-116.3968
The Woodlands,30.1738,-95.5134
Ponce,18.012,-66.6198
Westminster,39.8837,-105.0624
Costa Mesa,33.6667,-117.9135
Monroe,32.5183,-92.0774
Utica,43.0961,-75.226
Pompano Beach,26.2428,-80.1312
West Palm Beach,26.7468,-80.1316
Waterloo,42.492,-92.3522
Everett,47.9525,-122.1669
El Centro,32.7867,-115.5586
Santa Fe,35.6619,-105.9819
Downey,33.9379,-118.1312
Spring Hill,28.4797,-82.53
Lowell,42.6389,-71.3217
Centennial,39.5926,-104.8674
Elgin,42.0385,-88.3229
Richmond,37.9477,-122.339
Broken Arrow,36.0365,-95.7809
Miami Gardens,25.9433,-80.2426
Bend,44.0562,-121.3087
Burlington,44.4877,-73.2314
Jurupa Valley,34.001,-117.4705
Sandy Springs,33.9366,-84.3703
Gresham,45.5023,-122.4413
Lewisville,33.0452,-96.9823
Hillsboro,45.5272,-122.9361
San Buenaventura,34.2741,-119.2314
Jacksonville,34.7288,-77.3941
Pottstown,40.2507,-75.6444
Inglewood,33.9566,-118.3444
League City,29.4873,-95.1087
Eau Claire,44.8199,-91.4949
Turlock,37.5053,-120.8588
Temple,31.1076,-97.3894
Sioux City,42.4959,-96.3901
Salisbury,38.3756,-75.5867
Davie,26.0789,-80.287
Daly City,37.6862,-122.4685
Highlands Ranch,39.5419,-104.9708
Allen,33.1088,-96.6735
West Covina,34.0555,-117.9112
Sparks,39.5729,-119.7157
Wichita Falls,33.9072,-98.5291
San Mateo,37.5521,-122.3122
Columbia,39.2004,-76.859
Norwalk,33.9069,-118.0829
Rialto,34.1174,-117.3894
Manteca,37.7927,-121.2264
Arden-Arcade,38.6034,-121.381
El Cajon,32.8017,-116.9605
Burbank,34.1879,-118.3235
Longmont,40.1686,-105.1005
Renton,47.4784,-122.1919
Vista,33.1896,-117.2386
Logan,41.74,-111.8419
Prescott Valley,34.5983,-112.3176
Vacaville,38.359,-121.968
Edinburg,26.3197,-98.1596
Carmel,39.965,-86.146
Spokane Valley,47.6626,-117.2346
San Angelo,31.4424,-100.4506
La Crosse,43.824,-91.2268
Idaho Falls,43.4872,-112.0362
Holland,42.7677,-86.0985
Charlottesville,38.0375,-78.4855
Longview,32.5193,-94.7621
Tracy,37.7269,-121.4522
Boca Raton,26.3752,-80.108
Lafayette,39.9949,-105.0997
Lee's Summit,38.9172,-94.3816
Rio Rancho,35.2872,-106.6981
South Fulton,33.6269,-84.5802
Beaverton,45.4779,-122.8168
Lawrence,38.9597,-95.2641
Bismarck,46.8144,-100.7694
Orem,40.2983,-111.6992
Middletown,39.5032,-84.366
San Tan Valley,33.1879,-111.5472
San Marcos,33.135,-117.1744
Sandy,40.571,-111.8505
Federal Way,47.3091,-122.3358
Mandeville,30.3751,-90.0904
Hesperia,34.3975,-117.3147
Brockton,42.0821,-71.0242
Compton,33.893,-118.2275
Riverview,27.8227,-82.3023
Fishers,39.9589,-85.9661
Sunrise,26.1547,-80.2997
Bowling Green,36.9719,-86.4373
Roswell,34.0391,-84.3513
Menifee,33.6909,-117.1849
Plantation,26.126,-80.2617
Dover,43.1887,-70.8845
Quincy,42.2516,-71.0183
Portsmouth,36.8468,-76.354
Chino,33.9836,-117.6654
Lynn,42.4779,-70.9663
Edmond,35.6689,-97.4159
Hanford,36.3274,-119.6549
Dearborn,42.3127,-83.2129
Livonia,42.3972,-83.3733
South Gate,33.9448,-118.1926
Vineland,39.4653,-74.9981
Florence,34.1781,-79.7877
Portsmouth,43.058,-70.7826
Slidell,30.2881,-89.7826
Lawton,34.6176,-98.4203
Kirkland,47.6974,-122.2054
Missoula,46.875,-114.0214
Auburn,32.6087,-85.4899
Rapid City,44.0716,-103.2204
Terre Haute,39.4654,-87.3763
Suffolk,36.6953,-76.6398
Blacksburg,37.23,-80.4279
Mount Pleasant,32.8538,-79.8204
Carson,33.8374,-118.2559
Conroe,30.3239,-95.4825
Alafaya,28.5278,-81.1865
Livermore,37.6862,-121.7608
Westminster,33.7523,-117.9938
Germantown,39.1755,-77.2643
Santa Monica,34.0232,-118.4813
New Braunfels,29.6994,-98.1148
Fall River,41.7137,-71.1014
Albany,31.5776,-84.1762
Miami Beach,25.8171,-80.1396
Norwalk,41.1144,-73.4215
San Leandro,37.7071,-122.1601
O'Fallon,38.785,-90.7175
Newton,42.3316,-71.2085
Muncie,40.1989,-85.395
Citrus Heights,38.6948,-121.288
State College,40.7909,-77.8568
Town 'n' Country,28.0108,-82.576
Decatur,39.8556,-88.9337
Jackson,42.2431,-84.4037
Fort Myers,26.6195,-81.8303
Goodyear,33.2613,-112.3622
Dalton,34.769,-84.9712
Bryan,30.6657,-96.3668
Waukegan,42.3697,-87.8716
Hawthorne,33.9146,-118.3476
Anderson,40.0891,-85.6893
Redwood City,37.5026,-122.2252
Hoover,33.3754,-86.8064
Lake Forest,33.6606,-117.6712
Napa,38.2976,-122.3011
Whittier,33.9678,-118.0188
Clifton,40.8631,-74.1575
Largo,27.9088,-82.7711
Bloomington,44.8306,-93.3151
Johns Creek,34.0333,-84.2027
Newport Beach,33.6151,-117.8669
Mission,26.2041,-98.3251
Milpitas,37.4339,-121.8921
Troy,42.5818,-83.1457
Madera,36.9631,-120.0782
Joplin,37.0758,-94.5018
Chino Hills,33.9508,-117.7253
Alhambra,34.084,-118.1355
Franklin,35.9216,-86.8525
Melbourne,28.1085,-80.6627
Port Huron,42.9822,-82.4387
Springfield,39.9297,-83.7957
Mountain View,37.4,-122.0796
Zephyrhills,28.2408,-82.1796
St. Augustine,29.8977,-81.31
Flagstaff,35.1872,-111.6195
Buena Park,33.8572,-118.0046
Pleasanton,37.6663,-121.8805
Silver Spring,39.0028,-77.0207
Atascocita,29.9777,-95.1953
Westland,42.3192,-83.3805
Auburn,47.3039,-122.2108
Cranston,41.7658,-71.4857
Somerville,42.3908,-71.1013
Folsom,38.6668,-121.1422
Springdale,36.1899,-94.1574
Deerfield Beach,26.305,-80.1277
Warwick,41.7062,-71.4334
Cicero,41.8445,-87.7593
Farmington Hills,42.486,-83.3771
Newark,40.0705,-82.4251
Williamsburg,37.2692,-76.7076
Brooklyn Park,45.1112,-93.3505
Hattiesburg,31.3074,-89.317
Alexandria,31.2923,-92.4702
Lawrence,42.7003,-71.1626
Florence,34.8303,-87.6654
Valdosta,30.8502,-83.2788
Plymouth,45.0225,-93.4618
Buckeye,33.4314,-112.6429
Georgetown,30.6668,-97.6953
Cheyenne,41.1351,-104.79
Cedar Park,30.5106,-97.8196
The Villages,28.9021,-81.9888
Kokomo,40.464,-86.1277
Tustin,33.7309,-117.8106
Lakewood,33.8471,-118.1221
Perris,33.7899,-117.2233
St. Joseph,39.7599,-94.821
Flower Mound,33.0344,-97.1146
Pharr,26.1685,-98.1904
Pine Hills,28.5818,-81.4693
Alton,38.9034,-90.1523
Loveland,40.4166,-105.0623
Boynton Beach,26.5281,-80.0811
New Rochelle,40.9305,-73.7836
Anderson,34.5211,-82.6479
Jonesboro,35.8212,-90.6791
Lebanon,40.3412,-76.4227
Parma,41.3843,-81.7286
Layton,41.0769,-111.9621
Elizabethtown,37.703,-85.877
Texarkana,33.4487,-94.0815
Alameda,37.767,-122.2672
Kankakee,41.1019,-87.8643
Watsonville,36.9206,-121.7706
Porterville,36.0644,-119.0338
Baytown,29.7586,-94.9669
Upland,34.1178,-117.6603
Davis,38.5552,-121.7365
Camarillo,34.223,-119.0322
South Jordan,40.557,-111.9782
Battle Creek,42.2986,-85.2296
Bellflower,33.888,-118.1271
San Marcos,29.8736,-97.9381
San Ramon,37.7625,-121.9365
Lake Jackson,29.0516,-95.4522
Bethlehem,40.6266,-75.3679
Wyoming,42.8909,-85.7066
Oshkosh,44.0228,-88.5619
Hammond,41.6169,-87.491
Waldorf,38.6085,-76.9195
Missouri City,29.563,-95.5365
Pasco,46.2506,-119.1304
Wheeling,40.0752,-80.6951
Kendall,25.6697,-80.3556
Baldwin Park,34.0829,-117.9721
Rancho Cordova,38.574,-121.2523
Conway,35.0754,-92.4694
Gary,41.5906,-87.3472
Altoona,40.5082,-78.4007
Lodi,38.1218,-121.2932
Arlington Heights,42.0955,-87.9825
Bolingbrook,41.6903,-88.1019
Rochester Hills,42.6645,-83.1563
Winchester,39.1735,-78.1746
Framingham,42.3085,-71.4368
Hilton Head Island,32.1896,-80.7499
Centreville,38.8391,-77.4388
Union City,37.603,-122.0187
Owensboro,37.7574,-87.1173
Jackson,35.6535,-88.8353
Cleveland,35.1817,-84.8707
Wausau,44.962,-89.6459
Camden,39.9362,-75.1073
Anniston,33.6712,-85.8136
Evanston,42.0463,-87.6942
Apple Valley,34.5328,-117.2104
Mansfield,40.7656,-82.5275
Caguas,18.2319,-66.0388
Schaumburg,42.0307,-88.0838
Pocatello,42.8724,-112.4646
Woodbury,44.9056,-92.923
Southfield,42.4765,-83.2605
Ellicott City,39.2773,-76.8344
Dale City,38.6473,-77.3459
Maple Grove,45.1089,-93.4626
Pittsburg,38.0182,-121.8964
New Britain,41.6758,-72.7862
Morgantown,39.638,-79.9468
Mansfield,32.569,-97.1211
Hammond,30.5061,-90.4563
Dothan,31.2335,-85.4069
Harrisonburg,38.4361,-78.8735
Wenatchee,47.4356,-120.3283
Waukesha,43.0087,-88.2464
Pawtucket,41.8744,-71.3743
Redmond,47.6762,-122.1169
Lauderhill,26.1605,-80.2242
Sumter,33.9392,-80.393
Redlands,34.0511,-117.1712
Daphne,30.6286,-87.8866
Mount Vernon,48.4202,-122.3115
Weston,26.1006,-80.4054
St. Charles,38.7954,-90.5157
Janesville,42.6855,-89.0136
Sherman,33.6274,-96.6218
North Richland Hills,32.8605,-97.218
Broomfield,39.9541,-105.0527
El Paso de Robles,35.6394,-120.656
Bristol,36.5572,-82.2154
Wilmington,39.7415,-75.5413
Casas Adobes,32.3423,-111.0114
Walnut Creek,37.9024,-122.0398
Poinciana,28.1217,-81.482
Lynwood,33.924,-118.2017
Glen Burnie,39.1559,-76.6072
Lehi,40.4136,-111.8726
Passaic,40.8574,-74.1282
Homestead,25.4665,-80.4472
West Bend,43.4184,-88.1824
Delray Beach,26.455,-80.0905
Sheboygan,43.7403,-87.7316
Lake Elsinore,33.6847,-117.3344
Daytona Beach,29.1994,-81.0982
Los Lunas,34.8115,-106.7803
Lima,40.741,-84.1121
Decatur,34.573,-86.9906
Rocklin,38.8075,-121.2488
Rogers,36.3172,-94.1526
Castle Rock,39.3763,-104.8535
Hanover,39.8117,-76.9835
Bossier City,32.5227,-93.6666
Dubuque,42.5008,-90.7067
Rockville,39.0834,-77.1552
Victoria,28.8285,-96.985
Saratoga Springs,43.0674,-73.7775
Guaynabo,18.3839,-66.1134
Gaithersburg,39.1346,-77.2132
Union City,40.7674,-74.0323
Ames,42.0259,-93.6215
West Des Moines,41.5522,-93.7805
South San Francisco,37.6536,-122.4197
Yorba Linda,33.889,-117.7714
Casper,42.842,-106.3207
Palatine,42.1181,-88.043
Corvallis,44.5697,-123.278
Ankeny,41.7285,-93.6033
Mount Vernon,40.9136,-73.8291
Rowlett,32.9157,-96.5488
Lakeville,44.6774,-93.252
Alpharetta,34.0704,-84.2739
Longview,46.1461,-122.9629
DeKalb,41.9313,-88.7482
Petaluma,38.2423,-122.6267
Redondo Beach,33.8574,-118.3766
Tamarac,26.2056,-80.2542
Laguna Niguel,33.5275,-117.705
Eagan,44.8169,-93.1638
Kenner,30.0109,-90.2549
Bay City,43.5903,-83.8886
North Little Rock,34.7808,-92.2371
Sammamish,47.6017,-122.0416
Shawnee,39.0158,-94.8076
Jupiter,26.9199,-80.1128
Doral,25.8151,-80.3565
Florence-Graham,33.9682,-118.2447
Carbondale,37.7221,-89.2238
Blaine,45.1696,-93.2077
Weirton,40.406,-80.5671
Tulare,36.1996,-119.34
Wellington,26.6461,-80.2699
Pflugerville,30.452,-97.6022
Palo Alto,37.3913,-122.1468
Schenectady,42.8025,-73.9276
Great Falls,47.5022,-111.2995
Michigan City,41.7099,-86.8705
Bayonne,40.6661,-74.1141
Eden Prairie,44.8488,-93.4595
Port Orange,29.1084,-81.0137
Dublin,37.7161,-121.8963
Grand Forks,47.9218,-97.0886
Noblesville,40.0354,-86.0042
San Clemente,33.4498,-117.6103
Brentwood,37.9355,-121.7191
Carmichael,38.6337,-121.323
East Orange,40.7651,-74.2117
Eastvale,33.9617,-117.5802
Chapel Hill,35.927,-79.0391
Rocky Mount,35.9676,-77.8048
Haverhill,42.7838,-71.0871
Beloit,42.523,-89.0184
Glens Falls,43.3109,-73.6459
Brentwood,40.7839,-73.2522
Fairbanks,64.8353,-147.6534
Springfield,44.0538,-122.981
Bethesda,38.9866,-77.1188
Johnstown,40.3258,-78.9193
Dundalk,39.2703,-76.4942
Castro Valley,37.7091,-122.0631
Coon Rapids,45.1755,-93.3095
Elmira,42.0938,-76.8097
Mankato,44.1712,-93.9773
Albany,44.6274,-123.0966
North Miami,25.9007,-80.1686
Encinitas,33.049,-117.2613
Skokie,42.0359,-87.74
Leander,30.5728,-97.8618
Parkersburg,39.2624,-81.542
Waltham,42.3889,-71.2423
Port Charlotte,26.9918,-82.114
Palm Harbor,28.0847,-82.7481
San Luis Obispo,35.2669,-120.6691
Sebring,27.477,-81.453
Council Bluffs,41.2369,-95.8517
Hamilton,39.3938,-84.5653
Moore,35.3293,-97.4758
Pico Rivera,33.9902,-118.0888
Casa Grande,32.9068,-111.7624
Monessen,40.1519,-79.8828
Montebello,34.0155,-118.1108
Rome,34.2661,-85.1862
The Hammocks,25.67,-80.4483
Millcreek,40.6892,-111.8291
Sanford,28.7893,-81.276
National City,32.6654,-117.0983
Mayagüez,18.2003,-67.1397
Burnsville,44.7648,-93.2795
Coconut Creek,26.2803,-80.1842
Morristown,36.2046,-83.3006
Reston,38.9497,-77.3461
Lakewood,47.1628,-122.5299
Spring,30.0613,-95.383
Gadsden,34.009,-86.0156
Taylor,42.226,-83.2688
Novi,42.4786,-83.4893
Marietta,33.9533,-84.5422
Hot Springs,34.4892,-93.0501
Woodland,38.6712,-121.75
Fountainebleau,25.7723,-80.3458
La Habra,33.9278,-117.9513
Malden,42.4305,-71.0576
South Whittier,33.9336,-118.0311
Commerce City,39.8642,-104.8434
South Hill,47.1203,-122.2848
Bristol,41.6812,-72.9407
Columbus,39.2093,-85.9183
West Allis,43.0068,-88.0296
Taylorsville,40.657,-111.9493
Bangor,44.8322,-68.7906
Monterey Park,34.0497,-118.1326
Greenwood,39.6019,-86.1073
Bartlett,35.2337,-89.8195
Bradenton,27.49,-82.5739
Pontiac,42.6493,-83.2878
Staunton,38.1593,-79.0611
Meriden,41.5367,-72.7944
Gardena,33.8944,-118.3073
Apex,35.7239,-78.8728
Royal Oak,42.5084,-83.1539
Cupertino,37.3168,-122.0465
